,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data
361,hQNxGvuwQnihzrNTMiq7WE,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*z',256,0,180,RobotEEG
362,T4UWD2jqEypwGV5VWrsD78,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*C*',256,0,180,onlyEEGData
363,n7uaFDZatYrb43r3GYufCS,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*C*',256,0,180,RobotEEGAux
364,azcG8tAyvyXEdABYC8WDp5,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[8, 14]'",'*C*',256,0,180,RobotEEG
365,owEPZtk7Aa7Mqochi2axxB,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[14, 20]'",'*',256,0,180,onlyEEGData
366,nbjCAp8RSY4tzwcF2bo7Ya,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[14, 20]'",'*',256,0,180,RobotEEGAux
367,fjnTUnR7pkfCCS6946Mz8m,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[14, 20]'",'*',256,0,180,RobotEEG
368,fyvYCug3uqoJ5Tyo5CnACV,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[14, 20]'",'*z',256,0,180,onlyEEGData
369,2JNg6bb8ymQHP5MLKaxnwh,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[14, 20]'",'*z',256,0,180,RobotEEGAux
370,4Crjfa4Pd8PetascwF433k,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[14, 20]'",'*z',256,0,180,RobotEEG
371,4GRES9VCnMVWbD6ahKdMr6,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[14, 20]'",'*C*',256,0,180,onlyEEGData
372,YKAmudJgLgjKoVww577RoJ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[14, 20]'",'*C*',256,0,180,RobotEEGAux
373,mx2wWS7uoYVrE7fptsWU5X,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[14, 20]'",'*C*',256,0,180,RobotEEG
374,FHbDGWQp4WCpGsQnyrTo23,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[20, 30]'",'*',256,0,180,onlyEEGData
375,UnxNVkY4CJ9DuTVSbsyjPo,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[20, 30]'",'*',256,0,180,RobotEEGAux
376,vS58xR8iW2FvaYQSrf5tWR,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[20, 30]'",'*',256,0,180,RobotEEG
377,EjqoGSxdV3J2EKMNDmztBQ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[20, 30]'",'*z',256,0,180,onlyEEGData
378,Vkfdsg3bcZBDyb4gWZKvWZ,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[20, 30]'",'*z',256,0,180,RobotEEGAux
379,pyF9Jmk9joMp6LDQp2yBQ2,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[20, 30]'",'*z',256,0,180,RobotEEG
380,hHa6qgxzdahLixji8vXtUH,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[20, 30]'",'*C*',256,0,180,onlyEEGData
381,4ThxGazyyeyHEweie9kyrC,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[20, 30]'",'*C*',256,0,180,RobotEEGAux
382,T8TaSqmFgeHqo5fqN29sgi,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[20, 30]'",'*C*',256,0,180,RobotEEG
383,VP2ssFHQAzJuBtTitvsZgR,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[30, 40]'",'*',256,0,180,onlyEEGData
384,Gd8WAAhDPHakXAkgFJtKmX,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[30, 40]'",'*',256,0,180,RobotEEGAux
385,S4awC6YZVyCGbKjJgkN9Yg,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[30, 40]'",'*',256,0,180,RobotEEG
386,zSW7AUikFty9PWSo6hwvSF,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[30, 40]'",'*z',256,0,180,onlyEEGData
387,FgeJ84tm9ESsP6zzU3JLmh,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[30, 40]'",'*z',256,0,180,RobotEEGAux
388,Yx2oGiu7xD2Vym4AhNxbYi,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[30, 40]'",'*z',256,0,180,RobotEEG
389,GwHMEd5azBZYTsYd3UJeZW,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[30, 40]'",'*C*',256,0,180,onlyEEGData
390,guw5HrxgcEndR5LMjYsSfC,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[30, 40]'",'*C*',256,0,180,RobotEEGAux
391,X3PJsRyDSWyuYRsDBbCWVd,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rbf_svr,0.001,0,"'[30, 40]'",'*C*',256,0,180,RobotEEG
392,PRp92ac9mBTYwHc2CeDbRk,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*',256,0,180,onlyEEGData
393,sd3PbTAE2wFYaRDkeBHazA,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*',256,0,180,RobotEEGAux
394,jPjDQgUiaSiwe8ZQGwpFp2,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*',256,0,180,RobotEEG
395,UDgdWLUAbdwVJD7WGAUMeG,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*z',256,0,180,onlyEEGData
396,T3PDAfuDBB8s58DhY4i2hF,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*z',256,0,180,RobotEEGAux
397,DapSAuqw3W86cVNyEgJibh,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*z',256,0,180,RobotEEG
398,bEuXsbc33bmVwXyfHZqtHV,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*C*',256,0,180,onlyEEGData
399,vMwUZ7myqfdyBSMC8f86cK,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*C*',256,0,180,RobotEEGAux
400,Vp7MtvzmcNNseQiGLik35W,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[None, None]'",'*C*',256,0,180,RobotEEG
401,eKCK7xqFjbpdCk6RzVf3PL,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[0, 4]'",'*',256,0,180,onlyEEGData
402,LNjxQ2ipRaKg5Tha8Sy6AE,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[0, 4]'",'*',256,0,180,RobotEEGAux
403,8wcRqshvzDEjTZXmahhCQ8,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[0, 4]'",'*',256,0,180,RobotEEG
404,HY8qys2jBTnDZz8zJgHYQ7,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[0, 4]'",'*z',256,0,180,onlyEEGData
405,hmNAComAwyca7L2e6qzxfS,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[0, 4]'",'*z',256,0,180,RobotEEGAux
406,ztqNUVbZqfSoadbDQ7TZXk,/data/schirrmr/fiederer/nicebot/data,64,200,True,/data/schirrmr/fiederer/nicebot/results,rf_reg,0.001,0,"'[0, 4]'",'*z',256,0,180,RobotEEG
