,unique_id,data_folder,batch_size,max_epochs,cuda,result_folder,model_name,init_lr,weight_decay,band_pass,electrodes,sampling_rate,n_seconds_valid_set,n_seconds_test_set,data
271,jGToeb8zwNYGYsnYrcDCvj,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*z'      ,256          ,0                  ,180               ,RobotEEG
272,aB28hoFmP7UoXJLZuLM9vZ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*C*'     ,256          ,0                  ,180               ,onlyEEGData
273,422QvoECBshjSVqqyMkAK6,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
274,iPp22Lbqyz4g3HAYcqTjuG,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[None, None]'",'*C*'     ,256          ,0                  ,180               ,RobotEEG
275,PkwJ8MqAYzeRFykGtrosNU,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[0, 4]'"      ,'*'       ,256          ,0                  ,180               ,onlyEEGData
276,tQxGRWtUhqCosGqLhmudsK,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[0, 4]'"      ,'*'       ,256          ,0                  ,180               ,RobotEEGAux
277,vK5cjNvc2bdnTPcJHSaKZG,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[0, 4]'"      ,'*'       ,256          ,0                  ,180               ,RobotEEG
278,Y4aCqcei3ETKViPMCcts54,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[0, 4]'"      ,'*z'      ,256          ,0                  ,180               ,onlyEEGData
279,t6Ev7UQCVSbz6oYvWbyMCJ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[0, 4]'"      ,'*z'      ,256          ,0                  ,180               ,RobotEEGAux
280,RnVbigzQTH5mpBsjUGHHAc,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[0, 4]'"      ,'*z'      ,256          ,0                  ,180               ,RobotEEG
281,UWo4DRYVvCHiQPxBLJmRBZ,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[0, 4]'"      ,'*C*'     ,256          ,0                  ,180               ,onlyEEGData
282,dCADK8PJYJYrXAZgV8UZuc,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[0, 4]'"      ,'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
283,mJApMVCuiM5SNwQYSrAxvA,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[0, 4]'"      ,'*C*'     ,256          ,0                  ,180               ,RobotEEG
284,fm75m9rGRNnjptKhBfRRdh,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[4, 8]'"      ,'*'       ,256          ,0                  ,180               ,onlyEEGData
285,mEm3rgmEoWbdQtGG5NwCVc,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[4, 8]'"      ,'*'       ,256          ,0                  ,180               ,RobotEEGAux
286,b3FM7uLpCcLKsBchWJK7s2,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[4, 8]'"      ,'*'       ,256          ,0                  ,180               ,RobotEEG
287,KzGRuWHcmRFX6STPHfyaYT,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[4, 8]'"      ,'*z'      ,256          ,0                  ,180               ,onlyEEGData
288,ds7TKw6aWVzUpzHvrm2HJe,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[4, 8]'"      ,'*z'      ,256          ,0                  ,180               ,RobotEEGAux
289,HuwQrbPz43J3AmkFkxw4Jm,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[4, 8]'"      ,'*z'      ,256          ,0                  ,180               ,RobotEEG
290,s6ERFJUFrFzLrq2HQagrEP,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[4, 8]'"      ,'*C*'     ,256          ,0                  ,180               ,onlyEEGData
291,mXRwYNetkDayGarxpjhEg2,/data/schirrmr/fiederer/nicebot/data,64        ,200       ,True,/data/schirrmr/fiederer/nicebot/results,lin_svr   ,0.001  ,0           ,"'[4, 8]'"      ,'*C*'     ,256          ,0                  ,180               ,RobotEEGAux
